platform,product_id,rating,comment,Quality,Price,Delivery,Service
tiki,275515112,3,"Phía trước nồi bị dính cục gì mà chà ko ra, làm xấu cái nồi. Trong lòng nồi bị trầy. Quan trọng là thử nấu nước xem nồi ổn ko thì lúc nấu mùi hôi từ Sơn phía trong nồi khó chịu lắm! Sợ nấu đồ ăn hay cơm bị ám mùi hôi đó vào thức ăn nên chưa dám nấu nữa.",-1,-1,-1,-1
tiki,275515112,1,"Mình thấy nồi để 2,5L, nhưng lúc nhận hàng nồi quá nhỏ  kg bích đúng kích cở kg? Huuu",-1,-1,-1,-1
tiki,275515112,1,"Mọi người đừng mua sp của hãng này nhé . Van nấu bị xì hơi bảo ko bảo hành cái đó ,bảo tự mua ngoài. Lạy luôn cái van đó mua ở đâu",-1,-1,-1,-1
tiki,275515112,1,"Mua hàng mới mà giao hàng củ và trầy, móp rất nhiều",-1,-1,-1,-1
tiki,275515112,3,Nhỏ gọn xài ok đóng gói ok,-1,-1,-1,-1
tiki,53243293,1,"*** đảo KH flash sale khung giờ săn sale KM giảm giá sách từ 35-90%. KH săn được thì huỷ đơn không lý do, hẹn nhiều lần rồi âm thầm huỷ hết luôn. Thà huỷ thì gọi dt báo 1 tiếng. Chương trình e làm cho vui đánh *** KH. Sàn TMĐT lớn mà làm ăn tệ thật.",-1,-1,-1,-1
tiki,53243293,2,"Đánh giá 2* vì nội dung của sách thật sự rất bình thường, có thể tìm kiếm dễ dàng trên mạng, không cần phải tốn hơn 100k để mua đâu mấy bạn ơi  Sách in đẹp, chất lượng giấy tốt  Tiki giao hàng nhanh, đóng gói đẹp",-1,-1,-1,-1
tiki,53243293,2,mình dùng gói dịch vụ Book Care nhưng sách ko được bao bì như trong gói book care cho mình. Mình thích mua sách trên tiki vì có dịch vụ Book care.,-1,-1,-1,-1
tiki,53243293,3,"Sách hay, bổ ích cho các chị em chăm chỉ.",-1,-1,-1,-1
tiki,53243293,3,"Đọc cũng được, sách ko đề cập nhiều kiến thức mà nêu công thức là chính.",-1,-1,-1,-1
tiki,53243293,2,"quyển sách nội dung rất bình thường, không khoa học, trên mạng đầy ra mua chi cho tốn kém. Mình thấy tiếc tiền mua ghê.",-1,-1,-1,-1
tiki,53243293,2,The quality of the product is so great that I can’t buy it a second time,-1,-1,-1,-1
tiki,53243293,3,"sách trông hơi cũ, có chỗ bị rách góc của sách.",-1,-1,-1,-1
tiki,53243293,2,Giao hàng quá chậm!..................,-1,-1,-1,-1
tiki,53243293,1,Cũng dc nhưng đọc trên mạng có nhiều,-1,-1,-1,-1
tiki,53243293,3,Sản phẩm đóng gói chắc chắn Nhưng hộp bọc hơi bẩn,-1,-1,-1,-1
tiki,67991602,1,"Tôi mua quyển sách A nhưng lại giao quyển B. Phản hồi chat, gọi điện cả ngày không ai trả lời.   Tại sao lúc lấy tiền giao hàng thì nhanh thế, trước cả lịch hẹn.  Khách claim thì ko thấy ai.  Quá bức xúc.",-1,-1,-1,-1
tiki,67991602,1,"Tiki làm ăn thiếu chuyên nghiệp, coi thường khách hàng. Bản thân tiki giao nhầm cho tôi 1 đơn hàng giá trị lớn hơn, tôi hỗ trợ đổi trả rất nhanh gọn nhưng nhân viên bảo tôi hoàn tiền từ 3-5 ngày mà hiện tại ngày thứ 9 rồi.  Từ ngày 14/07 đến 22/07  *** gọi từ số này, gọi lại thì không được.  Tôi mua cả vài chục triệu tiền hàng nhưng vì có 200k mà các anh làm ăn khiến tôi bực mình quá. Nhận xong hàng là im ru ngay.   Lừa đảo!",-1,-1,-1,-1
tiki,67991602,3,"Giao hàng Tiki Now nhanh, nội dung rất hữu ích, tuy nhiên vì một trang sách như thế này và đóng gói hàng sơ xài nên mình xin cho 3 sao",-1,-1,-1,-1
tiki,67991602,1,"Mua sp tặng kèm nhưng khi giao sp ko có hàng tặng kèm, đổ lỗi do hệ thống tự động rồi ko phản hồi hì cả. Sách ổn, nhưng cửa hàng làm việc ko có chút thành ý nào cả.",-1,-1,-1,-1
tiki,67991602,3,"sách bị ườt mất 1 góc, mong bạn sẽ gói thêm nilon cho được đẹp hơn dù trời mưa",-1,-1,-1,-1
tiki,67991602,2,"sách cũ các trang giấy không thẳng tắp mặc dù mình chưa đọc trang nào, gáy sách bị dập, hy vọng Tiki bảo quản sách được tốt hơn",-1,-1,-1,-1
tiki,67991602,3,"Sách bị nát mấy cái góc r hic, chắc do vận chuyển, cái hộp cũng nát như chưa từng được nát luôn, nma chắc đó là lỗi của giao hàng. Còn về chất lượng sách thì em thấy sách cũ ạ. Em cảm ơn :)",-1,-1,-1,-1
tiki,67991602,1,Giao hàng sách trầy trụa có mực viết bi như vậy ? tính ra tiki làm việc tệ quá hay là do bizbook vậy ?,-1,-1,-1,-1
tiki,67991602,1,"bị tiki làm phiền, hiển thị bắt phải đánh giá mà ko cho ẩn đi. nhắn cskh nhưng không ai phản hồi, và vào hỗ trợ khách hàng thì bot chat tự động tiki care lần nào cũng yêu cầu nhập thông tin định danh, trong khi thông tin đăng nhập đã có trên app",-1,-1,-1,-1
tiki,67991602,3,"sách chưa kịp đọc nhưng  đã biết là hay vì ng bán đã đọc 5 lần 7 lượt rồi, mốc meo theo dấu vết của năm tháng, các góc đã sờn cả đi nhưng vì quý cái giá trị của quyển sách nên đành dứt lòng *** cho ng mua",-1,-1,-1,-1
tiki,67991602,1,"Giao hàng hộp rỗng, không có hàng ở trong.  Gọi lên *** Tiki nhờ hỗ trợ nhiều lần mà vẫn chưa được giải quyết, gần 1 tháng nay, hẹn lần hẹn lựa. Buộc phải đánh giá 1*",-1,-1,-1,-1
tiki,67991602,3,"sách không được bọc chống sốc, có vài trong bị rách góc, bị gập",-1,-1,-1,-1
tiki,67991602,3,"Giao hàng nhanh. Đóng gói kỹ. Nội dung sách chưa đọc, khi nào đọc xong sẽ bình luận tiếp.",-1,-1,-1,-1
tiki,67991602,1,"Đọc dở, chả có gì hay cả.",-1,-1,-1,-1
tiki,67991602,3,"hơi trừu tượng, thiên về triết lý nghiên cứu, chưa đưa ra biện pháp cụ thể đúng với tiêu đề sách, đọc xong rút ra kết luận: giữ sức khỏe tốt, tinh thần thoải mái khôg áp lực thì công việc làm sẽ trôi chảy hơn.",-1,-1,-1,-1
tiki,67991602,1,Sách chẳng có bao bọc gì. Bị trầy. Chắc đã đọc qua tay nhiều rồi. Thất vọng,-1,-1,-1,-1
tiki,67991602,1,"sách giao không nguyên vẹn, liên hệ *** của tiki hoài ko bắt máy. Cần nên mua ko đợi sales, quá xá thất vọng.",-1,-1,-1,-1
tiki,67991602,3,"Trang đầu tiên của sách bị lỗi, giấy nhàu nát và thừa giấy so với khổ sách nên hơi thất vọng khi mở sách ra xem",-1,-1,-1,-1
tiki,67991602,2,"Sách ship đến nhanh, hình thức đẹp, không có lỗi gì trong sách nhưng Tiki thiếu mất bookcare của mình nên mình rate sao thấp để các bạn chú ý lại việc này!",-1,-1,-1,-1
tiki,67991602,1,"mình nghĩ Bizbook lần sau nên kiểm tra kĩ lại bản dịch và người dịch ạ, thật sự như kiểu dịch từ gooogle translate, có những đoạn toàn câu, từ tối nghĩa và không liên quan đến nhau.",-1,-1,-1,-1
tiki,67991602,2,"Sách mới mua mà cong, gập, bẩn như sách cũ, quá phản cảm :(",-1,-1,-1,-1
tiki,67991602,3,"giao quá chậm, sách ko dc bọc ko tôn trọng khách",-1,-1,-1,-1
tiki,67991602,2,"Nói chung là viết dông dài, khó áp dụng đọc tốn thời gian",-1,-1,-1,-1
tiki,67991602,2,"Sách bị nhăn nhẹ ở góc bên trái, ko có đóng gói gì cả, chưa đọc nội dung nhueng ko hài lòng về cách đóng gói giao cho khách nhue vậy",-1,-1,-1,-1
tiki,67991602,1,quán chán sốp. Mua tặng mà giờ giữ đọc thôi 😩,-1,-1,-1,-1
tiki,67991602,3,"Có những trang bị lặp chữ, thiếu dấu",-1,-1,-1,-1
tiki,67991602,3,"Có một vài đoạn đọc được (và đã đăng quảng cáo). Các nội dung còn lại lan man, thiếu kết nối và không giúp người đọc nắm vấn đề.",-1,-1,-1,-1
tiki,67991602,3,"Giao hàng rất chậm, trên app báo thứ 6 giao nhưng thực tế thứ 2 mới giao hàng",-1,-1,-1,-1
tiki,67991602,3,"Chán, nội dung bình thường không có gì đặc biệt",-1,-1,-1,-1
tiki,67991602,2,"Tét góc, cũ hơi dơ, đóng gói không cẩn thận. Cảm ơn.",-1,-1,-1,-1
tiki,67991602,2,"Chất lượng Giấy mỏng, nhìn thấy chữ của cả trang bên gây cảm giác khó chịu khi đọc cho người mua!",-1,-1,-1,-1
tiki,67991602,1,"sản phẩm chất lượng, giá tốt, bên giao hàng quá tệ !!!",-1,-1,-1,-1
tiki,67991602,2,"Không có bọc trong hộp, sách bị mẻ rách",-1,-1,-1,-1
tiki,67991602,3,"sách được giao nhanh, chất lượng tốt. nội dung cảm thấy quá dàn trải và lan man",-1,-1,-1,-1
tiki,67991602,3,"chưa đọc nên k rõ nội dung thế nào,",-1,-1,-1,-1
tiki,67991602,3,"Sách ổn, có nhiều ý hay để thúc đẩy tinh thần tuy nhiên hơi dài và lan man.",-1,-1,-1,-1
tiki,67991602,3,Mới đọc sơ cảm thấy nội dung lan man,-1,-1,-1,-1
tiki,67991602,1,Đọc quá khó hiểu. Toàn triết lý hichic. Túm lại là làm gì thì làm vẫn p nghỉ ngơi. Mà viết tận đc gần 500 trang,-1,-1,-1,-1
tiki,67991602,1,Bị cong và rách hết sách.,-1,-1,-1,-1
tiki,67991602,3,"Dài dòng lê thê, phù hợp cho những bạn học văn :D",-1,-1,-1,-1
tiki,67991602,2,đọc hết 1/3 cuốn mà mung lung k hiểu cái gì. nhìn mục lục thì hay mà đọc nó lam man. mỗi mục k có tóm lại.,-1,-1,-1,-1
tiki,67991602,3,"sách hơi cũ, không bọc kính nên các góc bị cong",-1,-1,-1,-1
tiki,67991602,1,ttttthfbnkjiodofjfkobbkkvosoakxjvlckxjxkzkxjckckxkzlckjvcoxkxjv jibsoaoal,-1,-1,-1,-1
tiki,67991602,3,Lần đầu nhận sách của Tiki mà bị như vậy cảm thấy không hài lòng chút nào.,-1,-1,-1,-1
tiki,67991602,2,không có vấn đề gì về quyển sách,-1,-1,-1,-1
tiki,67991602,1,shop làm ăn rất chán. nt thì ko tl.,-1,-1,-1,-1
tiki,67991602,1,sách đẹp ship pơ giao hàng tốt mẫu mã đẹp,-1,-1,-1,-1
tiki,67991602,1,OK rất tốt giao hàng rất nhanh,-1,-1,-1,-1
tiki,67991602,1,"Sách giao chậm, gãy gáy cong bìa",-1,-1,-1,-1
tiki,67991602,3,đóng gói chưa kĩ làm sách bị nhăn bìa,-1,-1,-1,-1
tiki,67991602,1,giao hàng quá trễ............,-1,-1,-1,-1
tiki,67991602,3,"Đọc để tham khảo, còn áp dụng thì tùy từng điều kiện hoàn cảnh.",-1,-1,-1,-1
tiki,67991602,2,"giao hàng quá chậm, sách đóng gói tệ",-1,-1,-1,-1
tiki,67991602,3,"Nội dung sách khá dài , tuy nhiên đoạn đầu cubgx dễ hiểu",-1,-1,-1,-1
tiki,67991602,1,Nfmwcnckf ncjdn dndbcn fnbg,-1,-1,-1,-1
tiki,67991602,3,"Bình thường, không nổi bật",-1,-1,-1,-1
tiki,67991602,2,K có gì hay cả.đọc chán lắm,-1,-1,-1,-1
tiki,67991602,1,sách bị gãy cạnh không có bọc sách,-1,-1,-1,-1
tiki,67991602,3,Sách viết rất chung chung,-1,-1,-1,-1
tiki,67991602,3,"không có bookcare, xin lời giải thích từ tiki",-1,-1,-1,-1
tiki,67991602,3,Nội dung thì được nhưng ship gọi lại thì không thân thiện lắm,-1,-1,-1,-1
tiki,67991602,2,giáo hàng trễ và sản phẩm bị lỗi,-1,-1,-1,-1
tiki,67991602,1,đóng gói ko ra gì........,-1,-1,-1,-1
tiki,67991602,3,chất lượng sản phẩm bình thường,-1,-1,-1,-1
tiki,67991602,3,"Nội dung sách bình thường, không như mình kì vọng",-1,-1,-1,-1
tiki,67991602,1,"Tiki giao sách ko mới, nhiều nếp gấp và bị bẩn",-1,-1,-1,-1
tiki,67991602,2,"nghịch,jgyikvdhlnchmk txknhgknh",-1,-1,-1,-1
tiki,67991602,3,Nội dung bình thường !!!!,-1,-1,-1,-1
tiki,67991602,3,sách có vẻ đã dc đọc......,-1,-1,-1,-1
tiki,67991602,2,"Nội dụng phức tạp, đọc dễ chán",-1,-1,-1,-1
tiki,67991602,3,"Thấy cũng bình thường, nói chung không tệ",-1,-1,-1,-1
tiki,90679276,2,đọc cũng thấy bình thường. uổng tiền quá,-1,-1,-1,-1
tiki,90679276,1,"Giao hàng quá nhanh, sách đẹp",-1,-1,-1,-1
tiki,48481763,3,"Sách giao thì mới và nhanh,nhưng khi đọc khoảng tầm chục trang thì thấy có vết rách gập vào tròn",-1,-1,-1,-1
tiki,48481763,3,"Sản phẩm được giao cho chị mình vào ngày 17/3 (chị ấy học và sinh sống tại HCM), mình nhờ chị ấy nhận và kiểm tra sản phẩm để thuận tiện trong quá trình trao đổi khi xảy ra sự cố. Có vẻ vì đặt lòng tin vào Tiki chị đã không quan sát thấu đáo sản phẩm. Kết quả là đến ngày 26/3 mình nhận được thùng hàng. Hào hứng mở ra xem thì thất thần. Mình hoàn không hiểu vì lẽ nào mà tấm bìa bao ngoài về cơ bản trong rất bình thường nhưng phần bìa trong lại có nếp nhăn (trong như nếp gấp) tác động mạnh đến cả hơn 30 trang sách sau đấy. Đặt trường hợp đấy là lỗi do vận chuyển thì phần bìa ngoài vốn dĩ là nơi nhận tổn thương nhiều nhất lại hoàn toàn bình thường. Trong khi phần trong lại bị ảnh hưởng rõ ràng là rất mạnh. Nỗi thắc mắc khiến mình phải liên lạc với bên CSKH, đầu tiên họ nói với mình đó là lỗi ngoại quan, phải thông báo trong 48h khi nhận đc hàng mới được hưởng chính sách đổi trả. Mình và bên ấy đã có 1 khoảng thời gian đôi co kết quả là qua ngày hôm sau, bên ấy chủ động liên lạc với mình thông qua gọi thoại. Họ kêu cầu: “nếu bên bạn có video mở sản phẩm thì bên mình mới có thêm thông tin để giải quyết tiếp được”, và dĩ nhiên không quên kèm lời xin lỗi. Thứ đó mình hoàn toàn trong có. Ai lại giở hàng mà ddi quay điện thoại trước mặt shipper. Bên ấy tiếp tục đề nghị giảm 5% cho đơn hàng tiếp theo để giải quyết vụ việc. Với chất giọng nhẹ nhàng của tư vấn viên và cũng 1 phần là lỗi bên mình đã bất cẩn. Và rằng cắn răng thì mình cũng có thể chấp nhận sp đc vì ít nhất không mua phải hàng rởm. Dẫu sao thì với mình giá trị của sách nằm ở phần nội dung chứ không phải hình thức. Nên mình đã chấp nhận thỏa thuận. Mình viết những dòng này không thành tâm để khiển trách bên shop (có chủ tâm thay bìa nhằm nguỵ tạo hình thức hay không) hay chính sách giải quyết và thông tin tới khách hàng còn chưa thoả đáng. Mình không biết vì đây là lần đầu mua hàng trên mạng sau nhiều năm cạch mặt sendo. Ý định của mình khi đánh những con chữ này là muốn giúp bạn có 1 thái độ cẩn trọng hơn quá trình kiểm tra hình thức sản phẩm cũng như tìm hiểu trc các chính sách hậu mãi của Tiki. Riêng mình, mình sẽ tiếp tục ủng hộ Tiki dẫu hơi khó chịu. Vì đây là 1 doanh nghiệp Việt. Cám ơn vì đã dành thời gian quý báu của bạn cho những dòng chữ này",-1,-1,-1,-1
tiki,48481763,3,"Hình như cuốn sách này chỉ chia sẻ về hiện tượng Thiên nga đen thôi ấy, chỉ một hiện tượng nhưng dẫn chứng các câu chuyện để chứng minh rằng đây là hiện tượng thiên nga đen, hiện tượng thiên nga đen là có thật. Tại vì sách có vài phần kinh tế, mà lĩnh vực kinh tế không thuộc sở thích của mình nên mình đọc cảm thấy hơi khó nuốt. Mình chỉ mới đọc gần nửa cuốn thôi nhưng ngoài các câu chuyện có hiện tượng này thì mình không thấy các kiến thức hữu ích nào khác.",-1,-1,-1,-1
tiki,48481763,1,đóng gói tệ vận chuyển viettel ship đè hàng kinh khủng,-1,-1,-1,-1
tiki,48481763,2,Mép bìa sách với trang bị rời ra ko như các sách đã đặt trước đây. Cảm giác như ko biết là có phải sách thật hay ko,-1,-1,-1,-1
tiki,48481763,1,"Sách giao nguyên vẹn k rách, nhưng cuốn Dune bự hơn, cuốn Fooled by randomess cũng đc bọc mà cuốn này lại ko đc bọc. Tiki nên coi lại vì khổ sách k có j đặc biệt mà lại k bọc bookcare",-1,-1,-1,-1
tiki,48481763,1,"tiki giao sách nè. thiệt tình muốn chửi thề luôn, bán hàng lương tâm quăng *** cắn hả. phí vận chuyện cũng 39k chứ đâu phải free. đâu phải đi xin sách. mua bán kiểu gì vậy. mua hàng lâu nay, quá tệ.",-1,-1,-1,-1
tiki,48481763,1,"Tiki giao nhanh, đóng gói kỹ  Nhưng sách dịch dở tệ, đọc vài trang là thấy hết muốn đọc",-1,-1,-1,-1
tiki,48481763,3,"Đọc hơi buồn ngủ, nội dung không nhất thiết phải dài như vậy.",-1,-1,-1,-1
tiki,48481763,3,"Chủ đề của sách hay nhưng nội dung lan man, không làm rõ được ý",-1,-1,-1,-1
tiki,48481763,2,Sách viết rất khó hiểu và giá đắt,-1,-1,-1,-1
tiki,48481763,3,Nội dung chưa đọc nhưng thấy vậy là quải chè rồi. Rất hay mua sách của tiki nên bị thế này khá khó chịu.,-1,-1,-1,-1
tiki,48481763,1,"Mình đặt sách có book care, hệ thống có ghi nhận và trừ book care của mình nhưng khi nhận sách thì không được bọc",-1,-1,-1,-1
tiki,48481763,1,"giao hàng trễ, không được bọc bookcover nhựa, gáy sách bị nhăng do vận chuyển. Thất vọng với tiki",-1,-1,-1,-1
tiki,48481763,3,"bìa ngoài rời, chất liệu giấy ko tốt",-1,-1,-1,-1
tiki,48481763,3,Sách hình thức đẹp nhưng bản dịch nhiều chỗ hành văn word by word rất khó hiểu.,-1,-1,-1,-1
tiki,48481763,1,nội dung khá khó đọc. đã đọc dc khoảng 100 trang nhưng vẫn chưa thấy ý j mới!!!,-1,-1,-1,-1
tiki,48481763,3,Không lẽ tội trả hàng nữa chứ. Buôn bán lạ đời,-1,-1,-1,-1
tiki,48481763,3,"Phần bìa hơi bẩn, giao hàng nhanh",-1,-1,-1,-1
tiki,48481763,3,Chất lượng sách tốt. Về nội dung hơi hoang mang tí.,-1,-1,-1,-1
tiki,48481763,3,sách bảo quản không tốt . Bìa nhiều vết bẩn,-1,-1,-1,-1
tiki,48481763,3,"bìa dơ, cong trầy, bên trong sách vẫn còn nguyên nhưng khâu đóng gói quá tệ",-1,-1,-1,-1
tiki,48481763,3,Sách đẹp. Nội dung khó nhai. :)),-1,-1,-1,-1
tiki,48481763,3,"sách bị bẩn, bao hàng bị móp",-1,-1,-1,-1
tiki,48481763,3,sách bị gãy 1 góc,-1,-1,-1,-1
tiki,48481763,3,Sách bẩn,-1,-1,-1,-1
tiki,48481763,3,Minh co bookcare nhung ko thay sach duoc boc.,-1,-1,-1,-1
tiki,48481763,3,"Nội dung khá rối, ngôn từ không tường minh",-1,-1,-1,-1
tiki,48481763,1,"(*) Đánh giá không tính điểm Đóng gói quá tệ, không chống sốc, hộp thì nát bét. May mà sách chỉ bị cấn nhẹ :) lần nào mua sách cũng gặp vấn đề với khâu đóng gói",-1,-1,-1,-1
tiki,8835159,3,"Cuốn sách hơi lang man và cao vút, kiểu mình đã đọc thử các bài học đến 2-3 lần để hiểu được dụng ý của nhà văn, các phần mình thấy đều kết thúc cụt lất, không để lại những cô đọng. Nói chung mình khá thất vọng khi mua cuốn này",-1,-1,-1,-1
tiki,8835159,2,"Tôi không thể đọc hết, nó quá nông về mặt nội dung",-1,-1,-1,-1
tiki,8835159,3,sách bị đen và quăn góc. không biết sao nma tiki k bọc nổi cái bao ni lông ra ngoài à ?? làm ăn kiểu k cần khách ấy. cứ thế khách chỉ mua một lần rồi k k quay lại nữa đâu.thời buổi cạnh tranh chả thiếu gì các trang thương mại điện tử mà làm ăn kiểu thế.nhưng thôi quyển này ít ra còn chấp nhận được. trong đơn hàng của mình còn những quyển te tua hơn,-1,-1,-1,-1
tiki,8835159,2,"Tiki giao hàng nhanh.  Nội dung sách chưa có gì đặc biệt, chưa cô động. Là những câu chuyện ngắn của tác giả, lối văn không thuyết phục. Nội dung không có gì mới mẽ Chốt: không nên mua, đọc rất phí thời gian",-1,-1,-1,-1
tiki,8835159,2,sách mua về không hề có bọc xốp để chống xóc ảnh hưởng đến sách. quyển này ngoài nhăn ở đầu còn có vết xước sâu ở mặt sau quyển sách. mong tiki chú ý về cách đóng gói hàng sau này,-1,-1,-1,-1
tiki,8835159,2,"Nội dung sách thì không nói. Mà vận chuyển ""TIKI NOW"" từ thứ 3 tuần trước đến thứ 2 tuần này mới tới. đợi mấy ngày ko thấy gì, đành phải nhắn tin hỗ trợ đến 2 lần, rồi đợi thêm mấy ngày.",-1,-1,-1,-1
tiki,8835159,1,Gói hàng rấtttt hời hợtt luôn í. Bên trong không bao thêm gì chỉ có cuốn sách làm các cạnh sách bị cong hết trơn :(,-1,-1,-1,-1
tiki,8835159,2,"Đóng hàng rất ẩu, bị móp méo rất nhiều, có ảnh hưởng 1 ít đến sách.",-1,-1,-1,-1
tiki,8835159,2,"Tác giả dịch quá kém và thiếu kiến thức. Khyên các bạn nên mua sách tiếng anh đọc. Nội dung sách rất hay, tiếc là bạn dịch này thiếu kiến thức sống và không linh hoạt nên mình đọc cảm thấy rất khó chịu. Bạn dịch đã có thể thay thấy từ ""con ***"" thành ""chú ***"", đọc đến đây mình đã chẳng muốn đọc tiếp",-1,-1,-1,-1
tiki,8835159,3,Mình chưa bao giờ nhận hàng sách từ Tiki mà lại đóng gói sơ sài như thế này! Thường có box carton. Đây là trải nghiệm thực sự không tốt với mình!,-1,-1,-1,-1
tiki,8835159,2,"Mình rất buồn vì lần này mua 7 cuốn nhưng cuốn nào cũng bị dơ , gáy sách bị biến dạng và muốn rách bìa ra mong Tiki cải thiện lại ạ , vì những người nâng niu sách như em nhìn mấy cuốn sách bị như vậy khá là đau lòng .",-1,-1,-1,-1
tiki,8835159,1,"Giao chậm, đóng gói sơ sài, hộp không rõ là bị vơx hay bị xé",-1,-1,-1,-1
tiki,8835159,1,Sản phẩm tới tay thì bị cong góc. hộp bị rách 1 lỗ. sách nhìn hơi cũ.,-1,-1,-1,-1
tiki,8835159,1,"Khi mở hộp ra nhìn thầy quyển sách cảm thấy chán, vì sách lâu ko bán được hay thê nào đó mà sản phẩm lỗi quá, bẩn + rách + bị gấp đủ kiểu.",-1,-1,-1,-1
