cleaned_comment,Quality,Price,Delivery,Service
"đúng với mô_tả tốt chất_liệu vải mỏng màu_sắc đen tốt không quá lộ chỉ thừa , mình chỉ đi lúc đi tập nên không biết thấm mồ_hôi không",2,-1,-1,-1
giao hàng hàng cực nhanh trong ngày với giao hàng hàng tiêu chính hãng . sách chất_lượng,2,-1,2,-1
mặc_dù giao hàng hàng hơi chậm nhưng sách không bị sao cả . còn nd sách thì tuyệt_vời,2,-1,0,-1
"màu_sắc trawngs đúng với mô_tả không chất_liệu không bt tất rất mỏng luôn không như hình_mẫu , đeo lên nhìn thấy cả thịt , lỡ mua nhiều thấy phí tiền quá",0,1,-1,-1
đúng với mô_tả đúng chất_lượng sản_phẩm tuyệt quạt này dùng xài tốt lắm ạ . giá_cả phải_chăng vừa hợp túi_tiền .,2,2,-1,-1
giao hàng rất lâu quạt thì cũng được,0,-1,0,-1
chất_lượng sản_phẩm quạt nhìn có vẻ chắc_chắn nhưng pin không bền nha sạc đầy pin quạt tầm 1giờ là hết pin tiền nào chất_lượng nấy nha mọi người đúng với mô_tả đúng với hình_ảnh,2,1,-1,-1
tính_năng nổi_bật tam duoc hàng này không nên mua thà mua máy trên 1 triệu xài vẫn hơn . hangd rẻ mà xài có mùi máy và nhựa khá mỏng nhẹ không chắc_chắn . đúng là tiền nào của nấy,0,2,-1,-1
"chất_liệu xô công_dụng quàng cổ yếm xô quàng cổ có nút bấm 2 cỡ thoải_mái , hàng đẹp giống quảng_cáo giá lại hạt_dẻ nữa nên mua các mom nhé , đánh_giá 5 sao hàng đẹp",2,1,-1,-1
chất_liệu hem bíc nhưng mà cũng dày_dặn á đúng với mô_tả đúng màu_sắc trắng đóng_gói okila nhưng mà tôi dục cái bịch mất tiu òi,2,-1,1,-1
mua hơi phí . định dán cho em bé đừng mở_cửa . ai dè dán như hong_dán . keo dính hong chắc gì trơn,-1,-1,-1,-1
chất_liệu vải mịn màu_sắc trắng và be đúng với mô_tả đúg cb và giao hàng hàng nhanh tất rất ôm_chân_không bị chật không mỏng đâu nha đi đủ số_lượng,2,-1,2,-1
đúng với mô_tả không chất_lượng sản_phẩm sạc tí đã đầy và nhanh hết pin không đúng như mô_tả,0,-1,2,-1
"đời ngắn đừng ngủ dài làm thay_đổi tư_duy đáng để đọc cảm_ơn tiki . rất hài_lòng về thời_gian vận_chuyển sách , cũng hài_lòng khi cầm sách trên tay .",2,2,1,-1
"chất_lượng sản_phẩm như cc mình chân_thành khuyên những ai có ý_định mua hàng ở cái cửa_hàng này nên dừng lại ngay lập_tức . khi nó bán hàng cho mình thì rất nhanh nhưng khi sản_phẩm lỗi , mình nt báo , nó không trloi . mình sử_dụng được đúng ba lần . vậy_mà nó ghi trong phần mô_tả sản_phẩm là sẽ chịu hoàn_toàn trách_nhiệm khi hàng bị lỗi do nhà sản_xuất . làm_ăn như cc .",0,-1,0,-1
"chất_lượng sản_phẩm tốt đúng với mô_tả rất đúng tính_năng nổi_bật hút bụi sản_phẩm tốt , nhân_viên nhiệt_tình , trả_lời tn nhanh , bảo_hành tru đáo , ai có nhu_cầu sữ_dụng mua ủng_hộ cửa_hàng",2,-1,2,2
giao hàng không đúng màu,1,-1,1,-1
"đục lỗ dập lỗ núm ti , nhỏ gọn , dễ sử_dụng , giá_thành rẻ , tiết_kiệm 1 khoản chi_phí , không phải mua nún ti thay_thế",2,2,-1,-1
"đặt màu xanh than mà_lại giao hàng màu hồng không hiểu luôn , mà bù lại quạt khá là tốt",0,-1,1,-1
cổ cao mà ngắn_ngủn,-1,0,-1,-1
"sách đẹp màu rõ nét . tiki đóng_gói cẩn_thận . thích nhất là gói hàng không bị bọc quá nhiều nilon nhưng sách đến tay vẫn đẹp , không nhàu_nát hay quăn mép . nội_dung chưa đọc nên chưa đánh_giá được .",2,1,2,-1
độ tuổi sử_dụng người lớn chất_lượng sản_phẩm tốt sản_phẩm này đẹp giống như mô_tả của cửa_hàng giá_cả hợp_lý . về phải thêm keo mới chắc_chắn,2,2,-1,-1
"sản_phẩm như hình , gió không mát lắm mặc_dù 5 mức nhưng vẫn không mạnh , nếu ngồi phòng điều_hoà thì tốt chứ ra ngoài đg thì không ăn_thua",2,-1,-1,-1
"tui đặt hồng giao hàng trắng , hoi nay noel tui cho 5 sao",0,-1,1,-1
chất_liệu tốt đúng với mô_tả đung màu_sắc trắng_tinh đôi tất chân cổ cao có nhún này nhìn rất dễ thg và tốt ... dung đj với giầy thê thao hoặc giầy búp_bê ... giống cac bann teen bây_giờ hay đi đo ... rất ưng hi_vọng la nó sẽ được bền và không bai gião,2,0,-1,-1
"sản_phẩm có thiết_kế khá hiện_đại , tinh_tế và dễ sử_dụng . chất_liệu mang lại cảm_giác chắc_chắn , không bị ọp_ẹp hay quá mỏng_manh . các chi_tiết nhỏ được làm tỉ_mỉ , tạo cảm_giác sản_phẩm có độ hoàn_thiện tốt và đáng tin_cậy .",0,1,-1,-1
"sách đẹp , bìa đẹp , gói cũng đẹp luôn , cảm_ơn tiki ạ",2,-1,-1,-1
lắng_đọng lém mn đ vvvvvvv hết từ rồi ... ... ... . .,-1,-1,-1,-1
đúng với mô_tả không màu_sắc trắng chất_liệu mỏng hơi mỏng và cổ không cao như mình nghĩ . trải nghiệm sẽ không mua lại cửa_hàng này lần 2,0,2,-1,-1
đối_tượng sử_dụng tre em chất_lượng sản_phẩm chat luong rat tốt khong mui dùng dai mùi hương khong mùi mình dùng rất nhiều rồi,2,-1,-1,-1
đây là tác_phẩm ra_mắt đã lâu của chú ánh nên mình không cần nói về nội_dung nữa . riêng về sản_phẩm này của tiki thì được đóng_gói và giao hàng hàng quá nhanh . lại còn được tặng kèm sổ_tay in bìa mắt biếc 1990 nữa . nói_chung là mình rất hài_lòng,2,-1,0,-1
"chất_liệu thông_thoáng màu_sắc trắng hàng giao hàng nhanh , đóng_gói cẩn_thận , sản_phẩm đúng như mô_tả . chất_lượng rất tốt , dùng thử thấy ổn lắm . cửa_hàng tư_vấn nhiệt_tình , sẽ ủng_hộ lần sau",2,-1,2,2
"văn mẫu đánh_giá nhận xu không bị shopee xoá vì spam sản_phẩm rất xinh_đẹp tuyệt_vời , tôi không_thể trông_đợi gì hơn . cảm_ơn nhà cung_cấp , nhà sản_xuất , cảm_ơn người bán hàng , cảm_ơn sàn thương_mại điện_tử , cảm_ơn người vận_chuyển để tôi có cơ_hội dùng sản_phẩm tốt như thế này . hàng đóng_gói rất đẹp . quả_nhiên người bán đã gửi_gắm rất nhiều tâm_tư và tình_cảm trong lúc gói hàng . hộp không có dấu_hiệu bị móp , chứng_tỏ bộ_phận vận_chuyển đã nâng như nâng trứng , hứng như hứng hoa . xin nghiêng_mình cảm_ơn vì tất_cả . thời_gian vận_chuyển rất hợp_lí . tôi đã đặt_hàng với tâm thể hào_hứng chờ_đợi để được trải nghiệm sản_phẩm và tôi không hề bị chờ em mỏi cổ . có_thể thấy bên vận_chuyển không quản_ngại thời_tiết và đường_xá xa_xôi để đưa sản phấm cho tôi trong thời_gian ngắn nhất . cre harvey đang",2,2,0,1
tính_năng nổi_bật 0k đúng với mô_tả 0k chất_lượng sản_phẩm 0k tôi sẽ còn ủng_hộ cửa_hàng . tôi rất hài_lòng . cảm_ơn cửa_hàng rất nhiều . chúc cửa_hàng mua may bán đắt mau_mắn .,2,0,-1,-1
dán không chắc lắm . mua thêm keo hai mặt dính mới được . hàng tạm ổn . dính chắc và mỏng đi tí thì tốt hơn .,2,-1,-1,-1
"châ tôi lươ ng , kiê u da ng quâ n râ tôi vư a y mi nh , hi vo ng cửa_hàng đa da ng thêm ma_u đê_lư a thêm . đo ng go i ki , giao hàng nhanh thâ tôi",2,-1,2,-1
"hàng đúng mô_tả , chất_liệu cũng tốt , mua nhiều lần rồi , tốt la_nhe",2,-1,-1,-1
"tất ngắn , mỏng_dính , khác xa so với ảnh mẫu",0,-1,-1,-1
"sản_phẩm đẹp , giống ảnh , đã test hoạt_động tốt , cửa_hàng giao hàng nhanh , đóng_gói cẩn_thận . nói_chung là không có gì để chê",2,-1,2,-1
cái trái_tim thì tốt . còn cái đầu bo tròn màu xanh xanh còn cờn trầy hết cả . nhìn xấu như hàng dùng rồi vậy . nhắn_tin hỏi cửa_hàng cũng không thấy rep . đúng tiền bào của đó à . trước có mua vài cái cửa_hàng khác thấy trắng_trẻo trong trong đẹp lắm . không có xấu như_vầy,0,2,-1,-1
"mới giao hàng hôm_qua , sáng nay mở ra đọc tới tối thì xong rồi , nội_dung truyện thì đâu có gì để chê đâu phải hong nè ! tóm lại là tui thích lắm luôn á",1,-1,1,-1
tính_năng nổi_bật tốt chất_lượng sản_phẩm tốt đúng với mô_tả như quản_cáo đã nhận được hàng . hàng sử_dụng tốt,2,-1,-1,-1
"màu_sắc đen đúng với mô_tả đúng mua lần thứ 3 ròi í , mình săn sale nên là mua với giá chỉ 22 ngàn thôi à quá đã lunnn í vớ xinh 10d , shipper dễ_thương quâ tr un aaaaa 3",0,2,1,2
"một đống đồ tới quá nửa là hàng_mã . quá thất_vọng với giá tiền bỏ ra , đồ thì cái dùng được cái không",0,1,-1,-1
hài_lòng,2,-1,-1,-1
"mắt biếc đã có 1 quyển r nhưng thấy tái_bản đẹp lại tặng sổ nên quất thêm quyển nữa , truyện của bác ánh hay thì không có gì để bàn r tiki giao hàng hàng lần này vẫn rất nhanh , nhìn đóng_gói cẩn_thận nhưng lại bị rách gáy sổ gấp nếp mất mấy góc trang ở trong hơi buồn .",2,-1,2,-1
"ghi hộp chữ dôbg 160ml mà giao hàng cho khách 100ml chả hiểu cửa_hàng làm_ăn kiểu gì , mình thấy bé bé mình đong thử cốc 120ml mà chàn luôn , quá thất_vọng .",0,-1,1,-1
"nội_dung hay ý_nghĩa , mua mới . có 3 ngày đã đọc hết quyển",2,-1,-1,-1
shopee xưa giờ chuyên bán giá rẻ cho_nên mình sợ vấn_đề về chất_lượng lắm . nhưng từ khi mua được sản_phẩm ở cửa_hàng này thì mình đã yên_tâm hơn rất rất là nhiều .,2,2,-1,1
đánh chx được 2p nữa thấy khét khét rồi nên không dám dùng nữa luôn,0,-1,-1,-1
"không hài_lòng cho lắm , đơn_tính tiền 2 khăn ướt mini mà giao hàng có 1",0,1,1,-1
chất_liệu vải đúng với mô_tả đúng màu_sắc trắng gì mà phải ôm nhau ngủ từ lúc đấy lại là một trong những ngày đầu năm mới tại mỹ_viện mai đi ngủ đi em,1,-1,-1,-1
đã dùng thử 2tuần và thấy máy quá tốt . . đánh trứng chưa đầy 2p đã đạt rồi . . không nghĩ máy xịn xò vậy đâu ạ . . còm bền hay không thì cần thêm thời_gian,2,2,-1,-1
đặt cọ bình sữa mà giao hàng bút . xàm lz,1,-1,1,-1
"mùi hương thom nhẹ chất_lượng sản_phẩm tốt đối_tượng sử_dụng mọi đối_tượng ta nói cái bì nó siêu bự luôn ý , mỗi tờ cũng bự nữa . xài đã lắm nha",2,-1,-1,-1
cửa_hàng giao hàng hàng nhanh_chóng nhận hàng về đầy_đủ . vớ đẹp vải tốt không quá mỏng . mua lần chục đôi . sài cả tuần . ủng_hộ cửa_hàng tiewps okkkk,2,-1,2,-1
rất tuyệt_vời ? ? ? sách rất đẹp,2,-1,-1,-1
"chất_lượng sản_phẩm sản_phẩm bằng nhựa rất mỏng , không_thể nâng_đỡ máy_giặt chỉ có_thể nâng_đỡ tủ_lạnh hoặc máy lọc nước thôi",0,-1,-1,-1
"sản_phẩm được cái chất_lượng tốt và giá rẻ , ngoài_ra không còn gì khác",2,2,-1,-1
"sau 10 ngày dùng tôi nhận_xét quạt nhẹ . dung_lượng pin nói 10.000 ap nhưng xạc đầy dùng chỉ được 1 tiếng đồng_hồ , hèn j quạt nhẹ xòm , lúc nhận hàng tôi nghi nghi rồi , có cắm điện trực_tiếp dùng thì được chứ pin 10000 không tin_tưởng",0,-1,-1,-1
không mát,-1,-1,-1,-1
"chất_liệu vải màu_sắc nh màu đúng với mô_tả đúng giao hàng đủ đồ nha mình cứ sợ thiếu nhưng đủ may , đồ chưa sử_dụng nên chưa biết nhưng nhìn_chung là ổn",2,-1,1,-1
"sách hay , đáng tiền",2,1,-1,-1
đúng với mô_tả dung chất_lượng sản_phẩm tốt_tính_năng nổi_bật tốt giao hàng nhanh đúng mẫu sẽ ql ủng_hộ tiếp mua về để dùng,2,-1,2,-1
tiền nào của đấy thôi cả nhà ah . vừa nắp được quả pin vào chạy cũng bay tóc đấy nhưng nhẹ cái đã bật hết cả đít ra rồi . ối dồi ôi,0,1,-1,-1
sản_phẩm đẹp . nd hay ạ,2,-1,-1,-1
đặt cửa_hàng 2 cái đã thanh_toán tiền và lúc giao hàng hàng giao hàng có 1 cái . nhăn tin cửa_hàng không có phản_hồi . dịch_vụ quá thất_vọng,0,1,1,-1
"chất_lượng sản_phẩm tốt độ tuổi sử_dụng mọi người khóa chốt cài tủ nhỏ gọn xinh_xắn dễ sử_dụng , gắn vào các loại cửa thường hay sử_dụng đóng mở lâu ngày bị lờn không kín , nên hiệu_quả rất hay , đáng mua về sử_dụng lâu_dài , giá_thành cũng hợp_lý",2,2,0,-1
"chất_liệu không biết đúng với mô_tả đúng với mô_tả màu_sắc đủ loại màu hàng đẹp , đóng_gói kĩ , sẽ ủng_hộ tiếp",2,-1,1,-1
shiper thi rất tốt cho 5 sao nhung cửa_hàng nay giao hàng hàng không đúng sản_phẩm minh đat ? minh dat màu xanh dương lại đi giao hàng màu xanh lá cây minh đang test thu xem chua thay len điện nên mọi người cần thận khi mua hàng,2,-1,1,-1
chất_liệu không bt màu_sắc trắng_đen đúng với mô_tả đúng với mô_tả giao hàng hàng siêu nhanh đóng_gói cẩn_thận chất_lượng sản_phẩm tốt nên mua,2,-1,2,-1
đánh đk 1 lần cháy luôn . mn đừng mua,-1,-1,-1,-1
"màu_sắc trắng giá rẻ mà chất_lượng tốt nha , không quá dày cũng không quá mỏng ở mức ổn , đi rất êm luôn nha , mình thích đi tất với dép nên mua 1 lô 10 đôi cho đã",2,2,-1,-1
sách đẹp giá rẻ . cám_ơn tiki,2,2,-1,-1
tất mình tưởng 1 đôi nó sẽ ghim vào với nhau chứ để 1 cap ma_khong co ghim nhu này lại có 2 chiếc bẩn nữa cửa_hàng không kiểm_tra kĩ trước khi giao hàng hàng ạ ? hàng rẻ nhưng cũng phải kiểm_tra chứ ạ,0,2,1,-1
"mềm mịn công_dụng tôi dùng để đựng mực phun xăm rất tiện và hiệu_quả . hương thơm công_dụng tôi dùng để đựng mực phun xăm rất tiện và hiệu_quả . chất_lượng công_dụng tôi dùng để đựng mực phun xăm rất tiện và hiệu_quả . đã mua nhiều lần , y mẫu , giao hàng nhanh , hàng chất_lượng , chúc cửa_hàng đắt khách",2,0,2,-1
giao hàng nhanh đóng_gói cẩn_thận máy mới dùng 1 lần thấy cũng khá là tốt,0,-1,2,-1
hàng giao hàng nhanhh khăn vải khô cx tạm ổn nhưg hơi mỏng không mịn lắmm,0,-1,2,-1
say đá không hề nhiễn sai cả buổi không nhiễn đá,-1,-1,-1,-1
công_dụng đựng đồ chất_liệu nhựa thấy rẻ nên mua về chơi chơi chứ vẫn chưa biết đựng cái gì,-1,2,-1,-1
tính_năng nổi_bật xoay sinh_tố_chất_lượng sản_phẩm thấy máy đẹp tốt còn bền hay không chưa biết đúng với mô_tả đúng như mô_tả giao hàng hàng nhanh 3 ngày đã nhận được máy xoay mạnh không biết sử_dụng thời_gian coi bền không đây,2,0,2,-1
cổ tất đường viền bị thô và to,-1,-1,-1,-1
tính_năng nổi_bật giống hình chất_lượng sản_phẩm_chất_lượng tốt đúng với mô_tả đúng mẹ mình bảo máy hơi yếu nma khá đẹp các cậu ạ,2,-1,-1,-1
"chất_lượng sản_phẩm tot đúng với mô_tả dung tính_năng nổi_bật ke chan may giạt mình dùng kê máy_giặt thì thấy cũng cũng , chưa xài lâu nên không biết chất_lượng ntn , kê bếp thì lại khá cao , mong xài ổn",0,0,2,-1
đúng với mô_tả không để cổ cao mà ngắn có tới mắt_cá,-1,2,-1,-1
"nắp bị vỡ chắc do vận_chuyển , cốc xay hơi ọp_ẹp nhưng so với giá tiền thì cũng chỉ tạm vậy thôi xay không hoa_quả không được máy hay kẹt . xay bột thì không mịn như quảng_cao",0,2,1,-1
chất_lượng sản_phẩm đặt 2 màu xanh rêu lá mà giáo 2 màu trắng không thik đúng với mô_tả quạt tốt giao hàng sain mau,2,1,1,-1
"giao hàng hàng nhanh , giá rẻ hơn cửa_hàng khác 1 2nghìn nên chất_lượng kém hẳn . giấy ít , xấu quá thất_vọng sẽ không bao_giờ mua lại",0,2,2,-1
"chất_lượng sản_phẩm tốt đúng với mô_tả đúng mô_tả hơi nhỏ hơn so với mình suy_nghĩ , cũng khá là ồn , nhưng mát nhé , dùng rất tiện",2,-1,-1,-1
chất_lượng sản_phẩm mua 5 gửi 4 cái bịp thật,2,-1,-1,-1
"chất_lượng sản_phẩm tệ sản_phẩm tệ , lực hút sau khi gắn các đầu hút rất yếu , đầu tròn còn không lắp được vào máy , hướng_dẫn có như_không . không nên mua",0,-1,-1,-1
chất_lượng sản_phẩm khá ổn nhưng thời_gian sử_dụng liên_tục chỉ hơn 30p đúng,2,2,-1,-1
mùi hương tốt đối_tượng sử_dụng tốt chất_lượng sản_phẩm pk giấy mềm mịn nước vừa phải giá cũng tốt nói_chung là ổn_áp đánh_giá xong rồi phải vào sửa lại vì quá thất_vọng hôm đó mình ở ngoại nên bảo ck mang xuống cho 2 gói thấy rách kn trách ổng rạch thùng không cẩn_thận lm rách hoá_ra không phải ạ nay về nhà dở thùng giấy ra 10 bịch rách cả mười không hiểu sao cửa_hàng có_thể lm ăn như_vậy được có bịch rách kn bị bẩn nữa chứ giấy rách hết v vẫn gửi cho khách,0,1,0,-1
máy say khoảng 30s là có mùi khét sản_phẩm cực tệ,0,-1,-1,-1
"tính_năng nổi_bật đun nước chất_lượng sản_phẩm bình_thường đúng với mô_tả đúng với mô_tả lần đầu mua của cửa_hàng , mà mình săn sale nên cũng được giá khá là rẻ . chất_lượng cũng khá tốt , cửa_hàng đóng_gói cẩn_thận , giao hàng hàng siêu nhanh luôn . tuy_nhiên bên ngoài viết là 2,2 lít nhưng mà mình phải đun 2 lần đầy mới đầy phích 3,2 l nên hình_như dung_tích không đúng 2,2 l",2,2,2,-1
"cuốn sách hữu_ích cho tất_cả mọi người , nhất là các bạn trẻ !",2,2,-1,-1
"chất_liệu hơi mỏng độ đàn_hồi giãn tốt màu_sắc trắng , đẹp",2,-1,-1,-1
quạt đẹp nhưng bị thiếu dây sạc,2,-1,-1,-1
"đúng với mô_tả đúng dùng chưa tới 10 lần đã hỏng . quạt bật không lên . trong khi cũng chả rơi_rớt hay hư_hỏng gì , mà nhắn_tin thì cửa_hàng không trả_lời đã thế sửa đánh_giá 1 sao",0,1,-1,1
"đối_tượng sử_dụng mọi đối_tượng chất_lượng sản_phẩm tốt mùi hương mùi hương hơi thơm nhẹ giá_cả phải_chăng mà vẫn được khá nhiều nhỏ , gọn , tiện_lợi , dễ bỏ_túi mang theo bên mình",2,2,-1,-1
"chắc do xui nên trúng cái máy động_cơ thì chạy mà xay không dính , xay đã còn nguyên cục đá",-1,-1,-1,-1
sao không sáng,-1,-1,-1,-1
"chất_lượng sản_phẩm tệ đúng với mô_tả quá sai tôi tức á , phải tôi ib mà rep tôi đâu đánh_giá 1sao kiu quạt mức 1 được 10 tiếng thì có lố vẫn được 7 tiếng 5 tiếng , được có 3 tiếng rưỡi thì có phải treo đầu dê bán thịt . . ? tụi mình né , thêm vài chục mua hàng real đi giờ mới biết hàng pha kè",2,1,-1,-1
"sản_phẩm_giá tốt , giao hàng nhanh , đóng_gói cẩn_thận . thanks tiki",2,1,2,-1
goof,-1,-1,-1,-1
sách không được bao nilong .,-1,-1,-1,-1
say duoc,-1,-1,-1,-1
"đúng với mô_tả đúng chất_lượng sản_phẩm tốt quạt cầm tay như này tiện_lợi , còn có chỗ để điện_thoại lên nữa . giao hàng hàng nhanh , đóng_gói tốt . thấy mức nào cũng mát , mức 1 thôi cũng mát nhẹ rồi , chạy êm nữa , càng lên mức thì sẽ ồn hơn xíu p s nhấn giữ nút để tắt_quạt",0,-1,2,-1
chất_lượng sản_phẩm không tốt ban_đầu sạc thì có gió nhưng lúc sau lại hết pin rồi không ra gió nữa,2,-1,-1,-1
ấm nồng_nặc mùi nhựa,0,-1,-1,-1
"đúng với mô_tả tôi không nhận được , mà nhận để làm gì trong khi tôi mua máy hút bụi ! ?",-1,-1,-1,-1
ghi rõ bé trai mà cửa_hàng gửi toàn mẫu bé gái,2,-1,-1,-1
"giao hàng hàng nhanh , chất_lượng sách rất tốt , gói bọc hàng cẩn_thận",2,-1,2,-1
like,-1,-1,-1,-1
cái như lưỡi mèo này thì cọ rửa bình bằng niềm tin à quảng_cáo 1 kiểu nhận hàng kiểu khác,1,-1,-1,-1
lởm không_thể tả được . mới mua về dùng chưa được 1 lần đã nổ bụp rồi hỏng luôn . 109k là quá đắt cho sản_phẩm ntn . xứng_đáng_giá 30k .,0,0,-1,-1
giao hàng hàng nhanh . sách đẹp hk cong mép j cả . tuyệt_vời,2,-1,2,-1
1 cuốn sách rất hay,2,-1,-1,-1
"chất_liệu cotton màu_sắc đen , trắng đúng với mô_tả đúng tất đẹp nha , giá_cả cũng rẻ nói_chung là tốt , mang cũng thoáng , thoải_mái êm chân kkkkkkkkkk",2,2,-1,-1
"mùi hương không có mùi chất_lượng sản_phẩm tốt đối_tượng sử_dụng tất_cả mọi người giao hàng hàng siêu nhanh , giá ổn , bông đắp tonner mỏng có_thể kéo dãn ra mà không bị rách",2,1,2,-1
"tính_năng nổi_bật tốt chất_lượng sản_phẩm tốt đúng với mô_tả tốt phù_hợp với giá tiền ròii , xay nhuyễn á , nhưng phải xay nhiều lần nha",2,1,-1,-1
chất_liệu quá kém .,0,-1,-1,-1
"độ bám dính không tốt , dễ bong tróc tự rớt",0,-1,-1,-1
"tính_năng nổi_bật máy mạnh mới thử xay đậu_đen thấy máy xanh mạnh , mịn , giá_thành quá tốt , không biết độ bền như thế_nào . mình nghỉ nên mua",2,1,-1,-1
"nhiều màu_sắc trẻ_trung , quạt tích điện mini phù_hợp với mọi lứa tuổi . nhẹ_nhàng , dễ sử_dụng , là vật_dụng không_thể thiếu trong những ngày hè oi_bức .",1,2,-1,-1
"tiền nào của đó , mỏng như lá mít",0,1,-1,-1
"sách mới , không nhăn không gấp , được bọc bookcare , nhưng không có bookmark",2,-1,-1,-1
chất_lượng quá kém,0,-1,-1,-1
"trôg khá là xịn nhe , gói hàng chắc_chắn mình gỡ mãi ms ra , giao hàng hàng nhanh lắm nhe",2,-1,2,-1
"lực hút luc hut manh , hieu qua khi dung , may nho gon de cam , be nho o nha van giup me hut bui truoc khi di_ngu được",-1,-1,-1,-1
chất_lượng sản_phẩm cx ổn đúng với mô_tả đúng đóng_gói cẩn_thận quạt không được mát lắm dùng được khoảng 20p thì hết điện,2,-1,2,-1
đúng với mô_tả dung màu_sắc dep chất_liệu cotton cửa_hàng giao hàng hàng nhanh . nhận tất ưng cái bụng ạ . tất khá dày_dặn hình_thù đẹp_mắt dễ_thương lắm ạ,2,-1,2,2
"đúng với mô_tả mỏng , quá mỏng , logo mờ , chất_lượng kém",0,-1,-1,-1
không đánh_giá cao về khăn ướt cho lắm . 1 gói được tận 100 tờ khá nhiều nhưng nó khô chứ không ướt được,2,2,-1,-1
"đúng với mô_tả dung voi mo ta tính_năng nổi_bật đánh trứng làm bánh chất_lượng sản_phẩm_chất_lượng tạm máy đánh tốc_độ nhanh , bông trứng , khá tốt nhưng bền không thì chưa biết",2,-1,2,-1
chất_lượng sản_phẩm tốt đúng với mô_tả tốt_tính_năng nổi_bật tốt giá rẻ bình đẹp đáng mua nha mọi người với giá này không yêu_cầu gì thêm ạ nên mua nha mọi người,2,2,-1,-1
"keo dán chán , tự gỡ xong tự dán thủ_công",0,-1,-1,-1
giao hàng hàng nhanh đóng_gói cẩn_thận kèm lời cảm_ơn đã mua của cửa_hàng 2 lần rồi dùng tốt lắm ak lần sau sẽ ủng_hộ cửa_hàng nua ạ,2,-1,2,-1
mùi hương không mùi đối_tượng sử_dụng người lớn_tuổi và em bé . chất_lượng sản_phẩm mỏng . khăn ướt siêu mỏng và chị đã đếm chỉ 73 tờ không đủ 100 tờ .,0,-1,-1,-1
chât luong không can phải noi tot lắm,-1,-1,-1,-1
tốt . dùng ổn phù_hợp với giá tiền đóng_gói cẩn_thận nhé các bạn để tên,2,1,2,-1
tuyệtt vờiii,2,-1,-1,-1
đúng với mô_tả b màu_sắc g chất_liệu giờ giao hàng hàng nhanh . đóng_gói cẩn_thận . tất không quá dày cũng không quá mỏng . với giá này nên củng không đòi_hỏi gì thêm .,2,1,2,-1
thấy hàng thì giá rẻ đâu mà không biết xài có bền không nhưng mà vẫn đánh_giá 5 sao hi_vọng là xài bền cảm_ơn cửa_hàng,2,2,-1,-1
tốc_độ gió yếu dung_lượng pin không giữ được lâu hơn quạt sài 5 tiếng hết pin rồi,0,-1,2,-1
tính_năng nổi_bật tốt chất_lượng sản_phẩm tốt đúng với mô_tả tốt hình_ảnh video để lấy xu chưa láy ra xài chưa đánh_giá được chât luọnh,2,1,-1,-1
"đúng với mô_tả dung chất_lượng sản_phẩm chat luong mat , tuyet voi , không biet sd ben khong chứ thấy cũng okela , quạt cũng mạnh nha mình . n",0,-1,-1,-1
sản_phẩm rất chất_lượng ? ? ? ? ? luôn ủng_hộ tiki,2,-1,-1,-1
"cửa_hàng tư_vấn nhiệt_tình , nên mua nha mọi người , còn giao hàng nhanh nữa",1,-1,2,2
